,Team,Average_Market_Value,Position,Goal_Difference,Points,Year,Normalized_Average_Market_Value
0,chelsea fc,10.69,1,57,95,2004,1.0
1,manchester united,7.93,3,32,77,2004,0.7418147801683816
2,arsenal fc,6.68,2,51,83,2004,0.6248830682881198
3,liverpool fc,5.85,5,11,58,2004,0.5472404115996258
4,tottenham hotspur,3.44,9,6,52,2004,0.32179607109448083
5,newcastle united,3.93,14,-10,44,2004,0.36763330215154355
6,birmingham city,2.86,12,-6,45,2004,0.2675397567820393
7,manchester city,2.77,8,8,52,2004,0.25912067352666046
8,middlesbrough fc,2.78,7,7,55,2004,0.2600561272217025
9,southampton fc,2.08,20,-21,32,2004,0.19457436856875587
10,aston villa,3.24,10,-7,47,2004,0.30308699719363896
11,everton fc,2.75,4,-1,61,2004,0.25724976613657624
12,blackburn rovers,2.11,15,-11,42,2004,0.19738072965388212
13,fulham fc,1.92,13,-8,44,2004,0.1796071094480823
14,bolton wanderers,2.19,6,5,58,2004,0.2048643592142189
15,portsmouth fc,1.75,16,-16,39,2004,0.16370439663236672
16,charlton athletic,2.22,11,-16,46,2004,0.20767072029934522
17,west bromwich albion,1.58,17,-25,34,2004,0.1478016838166511
18,crystal palace,1.1,18,-21,33,2004,0.10289990645463051
19,norwich city,1.15,19,-35,33,2004,0.10757717492984097
0,chelsea fc,12.11,1,50,91,2005,1.0
1,manchester united,7.49,2,38,83,2005,0.6184971098265897
2,arsenal fc,6.28,4,37,67,2005,0.518579686209744
3,liverpool fc,5.85,3,32,82,2005,0.48307184145334436
4,tottenham hotspur,4.82,5,15,65,2005,0.398018166804294
5,newcastle united,4.7,7,5,58,2005,0.3881090008257639
6,middlesbrough fc,2.42,14,-10,45,2005,0.19983484723369116
7,everton fc,3.0,11,-15,50,2005,0.24772914946325353
8,manchester city,2.87,15,-5,43,2005,0.2369942196531792
9,aston villa,2.97,16,-13,42,2005,0.245251857968621
10,portsmouth fc,2.39,17,-25,38,2005,0.19735755573905864
11,charlton athletic,2.29,13,-14,47,2005,0.18909991742361687
12,birmingham city,2.48,18,-22,34,2005,0.20478943022295623
13,fulham fc,2.15,12,-10,48,2005,0.17753922378199835
