Year,Team,Position,Goal_Difference,Points,Squad_Size,Average_Age,Number_of_Foreigners,Average_Market_Value,Total_Market_Value
2023,manchester city,2,57,80,22,26.8,16,57.74,1270.0
2023,arsenal fc,1,50,79,25,25.6,18,44.74,1120.0
2023,chelsea fc,9,41,75,30,23.6,19,30.94,928.3
2023,liverpool fc,3,21,67,28,25.7,21,32.91,921.4
2023,tottenham hotspur,5,15,60,26,25.6,20,29.9,777.3
2023,manchester united,6,1,54,27,26.6,19,27.19,734.25
2023,aston villa,4,19,53,27,26.3,18,23.93,646.2
2023,newcastle united,7,-9,49,28,27.5,13,22.78,637.7
2023,brighton & hove albion,12,4,48,27,25.6,19,18.71,505.1
2023,west ham united,8,-8,48,22,28.5,14,20.3,446.6
2023,brentford fc,16,-7,46,30,25.8,23,14.2,426.08
2023,crystal palace,14,-5,44,28,26.4,13,14.45,404.7
2023,nottingham forest,17,-4,43,28,27.1,24,13.2,369.65
2023,afc bournemouth,10,-12,40,26,25.8,17,13.57,352.8
2023,everton fc,15,-11,36,25,27.3,11,13.82,345.4
2023,wolverhampton wanderers,11,-8,35,24,25.3,19,14.16,339.9
2023,fulham fc,13,-20,26,24,28.1,22,14.08,338.0
2023,burnley fc,19,-29,25,29,25.2,22,8.83,256.1
2023,sheffield united,20,-32,24,30,25.8,17,4.81,144.2
2023,luton town,18,-63,16,28,27.6,16,4.47,125.1
