Year,Team,Position,Goal_Difference,Points,Squad_Size,Average_Age,Number_of_Foreigners,Average_Market_Value,Total_Market_Value
2004,chelsea fc,1,57,95,31,24.4,24,10.69,331.48
2004,manchester united,3,51,83,37,24.2,25,7.93,293.23
2004,arsenal fc,2,32,77,37,23.4,29,6.68,247.0
2004,liverpool fc,5,-1,61,38,24.8,26,5.85,222.13
2004,tottenham hotspur,9,11,58,37,24.6,21,3.44,127.25
2004,newcastle united,14,5,58,32,25.4,15,3.93,125.9
2004,birmingham city,12,7,55,37,26.1,21,2.86,105.98
2004,manchester city,8,8,52,34,26.1,21,2.77,94.3
2004,middlesbrough fc,7,6,52,32,25.7,13,2.78,88.93
2004,southampton fc,20,-7,47,41,25.9,25,2.08,85.48
2004,aston villa,10,-16,46,26,24.7,16,3.24,84.18
2004,everton fc,4,-6,45,27,26.8,16,2.75,74.28
2004,blackburn rovers,15,-8,44,35,27.1,26,2.11,73.88
2004,fulham fc,13,-10,44,34,25.9,23,1.92,65.23
2004,bolton wanderers,6,-11,42,29,28.0,20,2.19,63.58
2004,portsmouth fc,16,-16,39,36,26.0,23,1.75,63.0
2004,charlton athletic,11,-25,34,26,26.5,15,2.22,57.8
2004,west bromwich albion,17,-21,33,32,27.1,19,1.58,50.4
2004,crystal palace,18,-35,33,35,24.8,17,1.1,38.53
2004,norwich city,19,-21,32,27,27.0,12,1.15,30.95
2005,chelsea fc,1,50,91,30,24.8,21,12.11,363.43
2005,manchester united,2,38,83,34,24.8,21,7.49,254.58
2005,arsenal fc,4,32,82,37,23.7,30,6.28,232.33
2005,liverpool fc,3,37,67,37,24.4,27,5.85,216.35
2005,tottenham hotspur,5,15,65,32,25.8,16,4.82,154.33
2005,newcastle united,7,9,63,32,26.0,13,4.7,150.48
2005,middlesbrough fc,14,5,58,39,25.2,18,2.42,94.38
2005,everton fc,11,8,56,31,26.8,19,3.0,92.92
2005,manchester city,15,-3,55,32,25.8,17,2.87,91.9
2005,aston villa,16,-7,51,30,25.2,17,2.97,89.0
2005,portsmouth fc,17,-15,50,36,27.0,29,2.39,86.13
2005,charlton athletic,13,-10,48,36,26.0,21,2.29,82.43
2005,birmingham city,18,-14,47,33,26.5,18,2.48,81.83
2005,fulham fc,12,-10,45,33,27.2,24,2.15,70.88
2005,west bromwich albion,19,-5,43,32,26.1,15,2.05,65.55
2005,blackburn rovers,6,-13,42,27,27.7,21,2.36,63.8
2005,west ham united,9,-25,38,33,25.2,14,1.9,62.55
2005,bolton wanderers,8,-22,34,32,26.3,23,1.93,61.85
2005,wigan athletic,10,-27,30,30,27.8,18,1.73,51.92
2005,sunderland afc,20,-43,15,31,24.6,20,1.11,34.35
2006,chelsea fc,2,56,89,37,24.2,25,11.26,416.76
2006,arsenal fc,4,40,83,38,23.3,32,7.32,278.18
2006,manchester united,1,30,68,38,24.5,19,6.82,259.15
2006,liverpool fc,3,28,68,38,24.1,25,6.31,239.77
2006,tottenham hotspur,5,3,60,38,24.1,20,4.36,165.73
2006,newcastle united,13,16,58,35,25.2,23,4.19,146.55
2006,aston villa,11,-5,56,34,26.0,19,3.22,109.5
2006,everton fc,6,5,55,30,26.4,19,3.65,109.45
