,Year,Team,Position,Goal_Difference,Points,Average_Market_Value,Normalized_Average_Market_Value
0,2004,chelsea fc,1,57,95,10.69,1.0
1,2004,manchester united,3,51,83,7.93,0.7418147801683816
2,2004,arsenal fc,2,32,77,6.68,0.6248830682881198
3,2004,liverpool fc,5,-1,61,5.85,0.5472404115996258
4,2004,tottenham hotspur,9,11,58,3.44,0.32179607109448083
5,2004,newcastle united,14,5,58,3.93,0.36763330215154355
6,2004,birmingham city,12,7,55,2.86,0.2675397567820393
7,2004,manchester city,8,8,52,2.77,0.25912067352666046
8,2004,middlesbrough fc,7,6,52,2.78,0.2600561272217025
9,2004,southampton fc,20,-7,47,2.08,0.19457436856875587
10,2004,aston villa,10,-16,46,3.24,0.30308699719363896
11,2004,everton fc,4,-6,45,2.75,0.25724976613657624
12,2004,blackburn rovers,15,-8,44,2.11,0.19738072965388212
13,2004,fulham fc,13,-10,44,1.92,0.1796071094480823
14,2004,bolton wanderers,6,-11,42,2.19,0.2048643592142189
15,2004,portsmouth fc,16,-16,39,1.75,0.16370439663236672
16,2004,charlton athletic,11,-25,34,2.22,0.20767072029934522
17,2004,west bromwich albion,17,-21,33,1.58,0.1478016838166511
18,2004,crystal palace,18,-35,33,1.1,0.10289990645463051
19,2004,norwich city,19,-21,32,1.15,0.10757717492984097
20,2005,chelsea fc,1,50,91,12.11,1.0
21,2005,manchester united,2,38,83,7.49,0.6184971098265897
22,2005,arsenal fc,4,32,82,6.28,0.518579686209744
23,2005,liverpool fc,3,37,67,5.85,0.48307184145334436
24,2005,tottenham hotspur,5,15,65,4.82,0.398018166804294
25,2005,newcastle united,7,9,63,4.7,0.3881090008257639
26,2005,middlesbrough fc,14,5,58,2.42,0.19983484723369116
27,2005,everton fc,11,8,56,3.0,0.24772914946325353
28,2005,manchester city,15,-3,55,2.87,0.2369942196531792
29,2005,aston villa,16,-7,51,2.97,0.245251857968621
30,2005,portsmouth fc,17,-15,50,2.39,0.19735755573905864
31,2005,charlton athletic,13,-10,48,2.29,0.18909991742361687
32,2005,birmingham city,18,-14,47,2.48,0.20478943022295623
33,2005,fulham fc,12,-10,45,2.15,0.17753922378199835
34,2005,west bromwich albion,19,-5,43,2.05,0.16928158546655656
35,2005,blackburn rovers,6,-13,42,2.36,0.1948802642444261
36,2005,west ham united,9,-25,38,1.9,0.1568951279933939
37,2005,bolton wanderers,8,-22,34,1.93,0.15937241948802644
38,2005,wigan athletic,10,-27,30,1.73,0.14285714285714285
39,2005,sunderland afc,20,-43,15,1.11,0.09165978530140381
40,2006,chelsea fc,2,56,89,11.26,1.0
41,2006,arsenal fc,4,40,83,7.32,0.650088809946714
42,2006,manchester united,1,30,68,6.82,0.605683836589698
43,2006,liverpool fc,3,28,68,6.31,0.5603907637655418
44,2006,tottenham hotspur,5,3,60,4.36,0.38721136767317943
45,2006,newcastle united,13,16,58,4.19,0.372113676731794
46,2006,aston villa,11,-5,56,3.22,0.28596802841918295
47,2006,everton fc,6,5,55,3.65,0.3241563055062167
48,2006,west ham united,15,3,54,3.01,0.2673179396092362
49,2006,portsmouth fc,9,-2,52,3.13,0.27797513321492007
50,2006,middlesbrough fc,12,2,50,2.75,0.24422735346358793
51,2006,manchester city,14,-5,46,2.78,0.24689165186500886
52,2006,fulham fc,16,-9,43,2.29,0.20337477797513323
53,2006,blackburn rovers,10,-15,42,2.55,0.22646536412078153
54,2006,wigan athletic,17,-24,41,2.03,0.18028419182948488
55,2006,bolton wanderers,7,-22,39,2.13,0.1891651865008881
56,2006,charlton athletic,19,-22,38,1.93,0.1714031971580817
57,2006,sheffield united,18,-23,38,1.01,0.08969804618117229
58,2006,watford fc,20,-26,34,0.767,0.06811722912966252
59,2006,reading fc,8,-30,28,0.865,0.07682060390763766
60,2007,chelsea fc,2,58,87,11.14,1.0
61,2007,manchester united,1,39,85,9.33,0.8375224416517055
62,2007,liverpool fc,4,43,83,7.45,0.6687612208258528
63,2007,arsenal fc,3,39,76,7.5,0.6732495511669658
